agol_city,agol_subregion,agol_match,agol_score,species,count,location,county,arrival_date,departure_date,observers,longitude,latitude,geom
Sudbury,Middlesex,Great Meadows Nat'l Wildlife Refuge,86.25,Black-bellied Whistling-Duck,5,Great Meadows NWR--Concord Unit,Middlesex,5/3/2011,5/4/2011,"M. Garvey (audio), M. Iliff*, J. Trimble* (audio recordings), J. Offermann (ph)",-71.37619,42.39711,0101000020E610000043C5387F13D851C010751F80D4324540
Chatham,Barnstable,"Chatham, Massachusetts",80,Swallow-tailed Kite,1,"Evergreen Cemetery, Chatham (Schain) and Morton Rd./bike trail, Chatham (Bouchard)",Barnstable,7/11/2011,7/11/2011,"R. Schain* (poor ph), F. Bouchard*",-69.96697,41.68503,0101000020E6100000A48D23D6E27D51C0B2632310AFD74440
Saugus,Essex,"Saugus, Massachusetts",82.86,Pink-footed Goose,1,"Bear Creek Sanctuary, Saugus",Essex,12/11/2011,12/14/2011,"P. Peterson, R. Schain (ph), M. Iliff, et al.",-71.0097,42.46532,0101000020E61000005BB1BFEC9EC051C05D16139B8F3B4540
Turners Falls,Franklin,"Turners Falls, Massachusetts",100,Pink-footed Goose,1,Turner's Falls,Franklin,10/26/2011,10/28/2011,"J.P. Smith* (ph), C.&D. Fisher (ph)",-72.55109,42.59858,0101000020E6100000C5C9FD0E452352C01405FA449E4C4540
NULL,Essex County,Upper Artichoke Reservoir,84.85,Barnacle Goose,1,"Upper Artichoke Reservoir, West Newbury",Essex,11/6/2011,1/3/2012,"P. Brown* (ph), m. ob",-70.93144,42.8062,0101000020E6100000EB8B84B69CBB51C08104C58F31674540
NULL,Essex County,Upper Artichoke Reservoir,84.85,Barnacle Goose,1,"Upper Artichoke Reservoir, West Newbury",Essex,11/6/2011,1/3/2012,"P. Brown* (ph), m. ob",-70.93144,42.8062,0101000020E6100000EB8B84B69CBB51C08104C58F31674540
NULL,Essex County,Upper Artichoke Reservoir,84.85,Barnacle Goose,1,"Upper Artichoke Reservoir, West Newbury",Essex,11/6/2011,1/3/2012,"P. Brown* (ph), m. ob",-70.93144,42.8062,0101000020E6100000EB8B84B69CBB51C08104C58F31674540
NULL,Essex County,Upper Artichoke Reservoir,84.85,Barnacle Goose,1,"Upper Artichoke Reservoir, West Newbury",Essex,11/6/2011,1/3/2012,"P. Brown* (ph), m. ob",-70.93144,42.8062,0101000020E6100000EB8B84B69CBB51C08104C58F31674540
NULL,Essex County,Upper Artichoke Reservoir,84.85,Barnacle Goose,1,"Upper Artichoke Reservoir, West Newbury",Essex,11/6/2011,1/3/2012,"P. Brown* (ph), m. ob",-70.93144,42.8062,0101000020E6100000EB8B84B69CBB51C08104C58F31674540
NULL,Essex County,Upper Artichoke Reservoir,84.85,Barnacle Goose,1,"Upper Artichoke Reservoir, West Newbury",Essex,11/6/2011,1/3/2012,"P. Brown* (ph), m. ob",-70.93144,42.8062,0101000020E6100000EB8B84B69CBB51C08104C58F31674540
Westport,Bristol,"1634 Drift Rd, Westport, Massachusetts, 02790",93.87,Sooty Tern,6,"1634 Drift Rd., Westport (E. Branch of Westport R.)",Bristol,8/28/2011,8/28/2011,P. Champlin* (ph),-71.06502605,41.53966391,0101000020E6100000D688056329C451C00824FEB413C54440
Sutton,Worcester,"Quabbin Path, Sutton, Massachusetts, 01590",96.86,Sooty Tern,1,Quabbin Park,Worcester,8/28/2011,8/28/2011,"L. Therrien* (ph), M. Iliff*",-71.71395528,42.11061482,0101000020E6100000049A7C71B1ED51C02D2D5DA0280E4540
Town of Yarmouth,Barnstable,"Bass River, Town of Yarmouth, Massachusetts",90.2,Sooty Tern,1,"mouth of Bass River, Dennis",Barnstable,8/28/2011,8/28/2011,S. Arena*,-70.20513,41.65661,0101000020E61000006C5B94D9208D51C0001DE6CB0BD44440
Winthrop,Suffolk,"Winthrop, Massachusetts",90.27,Sooty Tern,1,"Fort Heath, Winthrop",Suffolk,8/28/2011,8/28/2011,M. Garvey*,-70.98219,42.38163,0101000020E6100000541D7233DCBE51C014967840D9304540
NULL,Dukes County,Cuttyhunk Island,97.18,Ash-throated Flycatcher,1,Cuttyhunk Island,Dukes,10/16/2011,10/16/2011,M. Sylvia* (ph),-70.93559,41.41677,0101000020E6100000BD1DE1B4E0BB51C01AFA27B858B54440
Hyannis,Barnstable County,"Corporation St, Hyannis, Massachusetts, 02601",89.11,Brown Booby,1,"Corporation Beach, Dennis",Barnstable,8/16/2011,8/24/2011,"A. Curtis (ph), R. Barstow (ph), M. Keleher (ph), S. Arena (ph)",-70.29954349,41.66598958,0101000020E6100000E75175B82B9351C0D4C984253FD54440
Hyannis,Barnstable County,"Corporation St, Hyannis, Massachusetts, 02601",89.11,Brown Booby,1,"Corporation Beach, Dennis",Barnstable,8/16/2011,8/24/2011,"A. Curtis (ph), R. Barstow (ph), M. Keleher (ph), S. Arena (ph)",-70.29954349,41.66598958,0101000020E6100000E75175B82B9351C0D4C984253FD54440
Newburyport,Essex,"Newburyport, Massachusetts",86.36,White Ibis,1,"Plumbush Marshes, Newburyport",Essex,9/4/2011,9/4/2011,ph. â€  N. Landry,-70.87311,42.81205,0101000020E6100000E0F3C308E1B751C0C05B2041F1674540
NULL,Essex County,Upper Artichoke Reservoir,84.85,Barnacle Goose,1,"Upper Artichoke Reservoir, West Newbury",Essex,11/6/2011,1/3/2012,"P. Brown* (ph), m. ob",-70.93144,42.8062,0101000020E6100000EB8B84B69CBB51C08104C58F31674540
NULL,Essex County,Upper Artichoke Reservoir,84.85,Barnacle Goose,1,"Upper Artichoke Reservoir, West Newbury",Essex,11/6/2011,1/3/2012,"P. Brown* (ph), m. ob",-70.93144,42.8062,0101000020E6100000EB8B84B69CBB51C08104C58F31674540
East Sandwich,Barnstable,"Fort Hill Rd, East Sandwich, Massachusetts, 02537",87.27,Ash-throated Flycatcher,1,"Fort Hill, Eastham",Barnstable,11/11/2011,12/30/2011,J. Trimble (ph) et al.,-70.42411218,41.7385778,0101000020E6100000DBBB69A7249B51C09C46A4B789DE4440
South Dartmouth,Bristol,"South Dartmouth, Massachusetts",92.38,Ash-throated Flycatcher,1,"King Farm, South Dartmouth",Bristol,11/28/2011,1/2/2012,"Alice Morgan, Geoff Dennis",-70.94172,41.59962,0101000020E61000004E7FF62345BC51C086032159C0CC4440
NULL,Essex County,Upper Artichoke Reservoir,84.85,Barnacle Goose,1,"Upper Artichoke Reservoir, West Newbury",Essex,11/6/2011,1/3/2012,"P. Brown* (ph), m. ob",-70.93144,42.8062,0101000020E6100000EB8B84B69CBB51C08104C58F31674540
Manchester,Essex,"Manchester, Massachusetts",79.31,Tufted Duck,1,"Manchester Reservoir, Lake Hiawatha/Fells Pond",Essex,10/22/2011,2/29/2012,"*J. Sweeney, J. Trimble (ph), R. Schain (ph)",-70.77014,42.5744,0101000020E6100000DA5548F949B151C044696FF085494540
East Sandwich,Barnstable,"Fort Hill Rd, East Sandwich, Massachusetts, 02537",87.27,Ash-throated Flycatcher,1,"Fort Hill, Eastham",Barnstable,11/11/2011,12/30/2011,J. Trimble (ph) et al.,-70.42411218,41.7385778,0101000020E6100000DBBB69A7249B51C09C46A4B789DE4440
South Dartmouth,Bristol,"South Dartmouth, Massachusetts",92.38,Ash-throated Flycatcher,1,"King Farm, South Dartmouth",Bristol,11/28/2011,1/2/2012,"Alice Morgan, Geoff Dennis",-70.94172,41.59962,0101000020E61000004E7FF62345BC51C086032159C0CC4440
East Sandwich,Barnstable,"Fort Hill Rd, East Sandwich, Massachusetts, 02537",87.27,Ash-throated Flycatcher,1,"Fort Hill, Eastham",Barnstable,11/11/2011,12/30/2011,J. Trimble (ph) et al.,-70.42411218,41.7385778,0101000020E6100000DBBB69A7249B51C09C46A4B789DE4440
NULL,Essex County,Upper Artichoke Reservoir,84.85,Barnacle Goose,1,"Upper Artichoke Reservoir, West Newbury",Essex,11/6/2011,1/3/2012,"P. Brown* (ph), m. ob",-70.93144,42.8062,0101000020E6100000EB8B84B69CBB51C08104C58F31674540
Duxbury,Plymouth,Duxbury Beach,87.14,Harris's Sparrow,1,Duxbury Beach--The Gurnet,Plymouth,11/21/2010,3/22/2011,R. Bowes (ph),-70.63212,42.03522,0101000020E610000071C971A774A851C02315C61682044540
East Falmouth,Barnstable,"East Falmouth, Massachusetts",88.57,Swallow-tailed Kite,1,"Brievogel Ponds, East Falmouth",Barnstable,5/29/2011,5/31/2011,"B. Porter*, E. Nielsen (ph), I. Davies (ph), R. Barstow (ph)",-70.5605,41.57864,0101000020E61000001D5A643BDFA351C0271422E010CA4440
NULL,Dukes County,Cuttyhunk Island,97.18,Purple Gallinule,1,Cuttyhunk Island,Dukes,10/8/2011,10/8/2011,R. Schain* (ph) et al.,-70.93559,41.41677,0101000020E6100000BD1DE1B4E0BB51C01AFA27B858B54440
Westport,Bristol,"1634 Drift Rd, Westport, Massachusetts, 02790",93.87,Sooty Tern,6,"1634 Drift Rd., Westport (E. Branch of Westport R.)",Bristol,8/28/2011,8/28/2011,P. Champlin* (ph),-71.06502605,41.53966391,0101000020E6100000D688056329C451C00824FEB413C54440
Sutton,Worcester,"Quabbin Path, Sutton, Massachusetts, 01590",96.86,Sooty Tern,1,Quabbin Park,Worcester,8/28/2011,8/28/2011,"L. Therrien* (ph), M. Iliff*",-71.71395528,42.11061482,0101000020E6100000049A7C71B1ED51C02D2D5DA0280E4540
Town of Yarmouth,Barnstable,"Bass River, Town of Yarmouth, Massachusetts",90.2,Sooty Tern,1,"mouth of Bass River, Dennis",Barnstable,8/28/2011,8/28/2011,S. Arena*,-70.20513,41.65661,0101000020E61000006C5B94D9208D51C0001DE6CB0BD44440
Winthrop,Suffolk,"Winthrop, Massachusetts",90.27,Sooty Tern,1,"Fort Heath, Winthrop",Suffolk,8/28/2011,8/28/2011,M. Garvey*,-70.98219,42.38163,0101000020E6100000541D7233DCBE51C014967840D9304540
Newburyport,Essex,"Newburyport, Massachusetts",86.36,White Ibis,1,"Plumbush Marshes, Newburyport",Essex,9/4/2011,9/4/2011,ph. â€  N. Landry,-70.87311,42.81205,0101000020E6100000E0F3C308E1B751C0C05B2041F1674540
Charlestown,Suffolk,Winthrop Square,87.88,Ash-throated Flycatcher,1,"Winthrop Greenway, Winthrop",Suffolk,10/11/2011,10/12/2011,"P. Peterson*, R. Schain (ph), M. Garvey (v)",-71.06051,42.37452,0101000020E61000002EC55565DFC351C055D97745F02F4540
Gloucester,Essex,"East Gloucester, Gloucester, Massachusetts",86.36,Lark Bunting,1,"Good Harbor Beach, E. Gloucester",Essex,10/8/2011,10/10/2011,"B.Harris*, T. Spahr*(ph), E. Neilsen (ph), J. Offermann (ph)",-70.64871,42.61156,0101000020E6100000A4A5F27684A951C058C51B99474E4540
Centerville,Barnstable,"Centerville, Massachusetts",86.26,Varied Thrush,1,"Lake Wequaquet, Centreville",Barnstable,2/5/2011,2/19/2011,"D. Graf* (ph), P. Trimble (ph), M. Iliff (ph), A. Curtis (ph)",-70.34864,41.65027,0101000020E6100000F584251E509651C0F3C81F0C3CD34440
East Falmouth,Barnstable,"East Falmouth, Massachusetts",88.57,Swallow-tailed Kite,1,"Brievogel Ponds, East Falmouth",Barnstable,5/29/2011,5/31/2011,"B. Porter*, E. Nielsen (ph), I. Davies (ph), R. Barstow (ph)",-70.5605,41.57864,0101000020E61000001D5A643BDFA351C0271422E010CA4440
Newbury,Essex,Parker River Nat'l Wildlife Refuge,100,White-faced Ibis,1,Parker River NWR,Essex,4/22/2011,4/26/2011,"M. Blust (v), R. Schain (ph)",-70.81025,42.79136,0101000020E610000060E5D022DBB351C068AED3484B654540
Saugus,Essex,"Saugus, Massachusetts",82.86,Pink-footed Goose,1,"Bear Creek Sanctuary, Saugus",Essex,12/11/2011,12/14/2011,"P. Peterson, R. Schain (ph), M. Iliff, et al.",-71.0097,42.46532,0101000020E61000005BB1BFEC9EC051C05D16139B8F3B4540
Manchester,Essex,"Manchester, Massachusetts",79.31,Tufted Duck,1,"Manchester Reservoir, Lake Hiawatha/Fells Pond",Essex,10/22/2011,2/29/2012,"*J. Sweeney, J. Trimble (ph), R. Schain (ph)",-70.77014,42.5744,0101000020E6100000DA5548F949B151C044696FF085494540
East Sandwich,Barnstable,"Fort Hill Rd, East Sandwich, Massachusetts, 02537",87.27,Ash-throated Flycatcher,1,"Fort Hill, Eastham",Barnstable,11/11/2011,12/30/2011,J. Trimble (ph) et al.,-70.42411218,41.7385778,0101000020E6100000DBBB69A7249B51C09C46A4B789DE4440
Salisbury,Essex,"Salisbury, Massachusetts",81.6,Ash-throated Flycatcher,1,"Salisbury Beach State Park, Salisbury",Essex,10/28/2011,11/4/2011,"J. Fenton (ph), m. ob.",-70.86097,42.84097,0101000020E61000009335EA211AB751C06475ABE7A46B4540
Eastham,Barnstable,"Eastham, Massachusetts",90,Painted Bunting,1,"Shore Drive, Eastham",Barnstable,12/18/2011,2/20/2012,"J. Sweeney*, V. Zollo*, ph. R. Schain, ph. J. Trimble, m. ob.",-69.9735,41.82911,0101000020E6100000FCA9F1D24D7E51C0AE64C74620EA4440
East Falmouth,Barnstable,"East Falmouth, Massachusetts",88.57,Swallow-tailed Kite,1,"Brievogel Ponds, East Falmouth",Barnstable,5/29/2011,5/31/2011,"B. Porter*, E. Nielsen (ph), I. Davies (ph), R. Barstow (ph)",-70.5605,41.57864,0101000020E61000001D5A643BDFA351C0271422E010CA4440
Chatham,Barnstable,"Morris Island Rd, Chatham, Massachusetts, 02633",96.86,American White Pelican,1,Morris Island Causeway,Barnstable,10/28/2011,10/28/2011,"M. Faherty*, R. Schain (ph), P. Trimble (ph)",-69.95745294,41.66670378,0101000020E61000009430B2E8467D51C01B9CA98C56D54440
Newburyport,Essex,"Newburyport, Massachusetts",86.36,White Ibis,1,"Plumbush Marshes, Newburyport",Essex,9/4/2011,9/4/2011,ph. â€  N. Landry,-70.87311,42.81205,0101000020E6100000E0F3C308E1B751C0C05B2041F1674540
NULL,Essex County,Upper Artichoke Reservoir,84.85,Barnacle Goose,1,"Upper Artichoke Reservoir, West Newbury",Essex,11/6/2011,1/3/2012,"P. Brown* (ph), m. ob",-70.93144,42.8062,0101000020E6100000EB8B84B69CBB51C08104C58F31674540
NULL,Essex County,Upper Artichoke Reservoir,84.85,Barnacle Goose,1,"Upper Artichoke Reservoir, West Newbury",Essex,11/6/2011,1/3/2012,"P. Brown* (ph), m. ob",-70.93144,42.8062,0101000020E6100000EB8B84B69CBB51C08104C58F31674540
Hyannis,Barnstable County,"Corporation St, Hyannis, Massachusetts, 02601",89.11,Brown Booby,1,"Corporation Beach, Dennis",Barnstable,8/16/2011,8/24/2011,"A. Curtis (ph), R. Barstow (ph), M. Keleher (ph), S. Arena (ph)",-70.29954349,41.66598958,0101000020E6100000E75175B82B9351C0D4C984253FD54440
Hyannis,Barnstable County,"Corporation St, Hyannis, Massachusetts, 02601",89.11,Brown Booby,1,"Corporation Beach, Dennis",Barnstable,8/16/2011,8/24/2011,"A. Curtis (ph), R. Barstow (ph), M. Keleher (ph), S. Arena (ph)",-70.29954349,41.66598958,0101000020E6100000E75175B82B9351C0D4C984253FD54440
Ipswich,Essex,"Ipswich, Massachusetts",83.26,White-faced Ibis,1,"Argilla Rd. horse farm, Ipswich",Essex,5/8/2011,5/16/2011,M. Iliff* (ph),-70.83809,42.67969,0101000020E6100000B2463D44A3B551C089B5F81400574540
NULL,Essex County,Upper Artichoke Reservoir,84.85,Barnacle Goose,1,"Upper Artichoke Reservoir, West Newbury",Essex,11/6/2011,1/3/2012,"P. Brown* (ph), m. ob",-70.93144,42.8062,0101000020E6100000EB8B84B69CBB51C08104C58F31674540
NULL,Essex County,Upper Artichoke Reservoir,84.85,Barnacle Goose,1,"Upper Artichoke Reservoir, West Newbury",Essex,11/6/2011,1/3/2012,"P. Brown* (ph), m. ob",-70.93144,42.8062,0101000020E6100000EB8B84B69CBB51C08104C58F31674540
NULL,Essex County,Upper Artichoke Reservoir,84.85,Barnacle Goose,1,"Upper Artichoke Reservoir, West Newbury",Essex,11/6/2011,1/3/2012,"P. Brown* (ph), m. ob",-70.93144,42.8062,0101000020E6100000EB8B84B69CBB51C08104C58F31674540
NULL,Essex County,Upper Artichoke Reservoir,84.85,Barnacle Goose,1,"Upper Artichoke Reservoir, West Newbury",Essex,11/6/2011,1/3/2012,"P. Brown* (ph), m. ob",-70.93144,42.8062,0101000020E6100000EB8B84B69CBB51C08104C58F31674540
Centerville,Barnstable County,"260 Shallow Pond Dr, Centerville, Massachusetts, 02632",93.92,Harris's Sparrow,1,"260 Shallow Pond Lane, East Falmouth",Barnstable,2/1/2011,2/9/2011,"H. Caswell*, B. Porter (ph)",-70.32551764,41.67961046,0101000020E61000008D84F047D59451C019DCBD79FDD64440
Duxbury,Plymouth,Duxbury Beach,87.14,Harris's Sparrow,1,Duxbury Beach--The Gurnet,Plymouth,11/21/2010,3/22/2011,R. Bowes (ph),-70.63212,42.03522,0101000020E610000071C971A774A851C02315C61682044540
Eastham,Barnstable,"Eastham, Massachusetts",90,Painted Bunting,1,"Shore Drive, Eastham",Barnstable,12/18/2011,2/20/2012,"J. Sweeney*, V. Zollo*, ph. R. Schain, ph. J. Trimble, m. ob.",-69.9735,41.82911,0101000020E6100000FCA9F1D24D7E51C0AE64C74620EA4440
East Sandwich,Barnstable,"Fort Hill Rd, East Sandwich, Massachusetts, 02537",87.27,Ash-throated Flycatcher,1,"Fort Hill, Eastham",Barnstable,11/11/2011,12/30/2011,J. Trimble (ph) et al.,-70.42411218,41.7385778,0101000020E6100000DBBB69A7249B51C09C46A4B789DE4440
South Dartmouth,Bristol,"South Dartmouth, Massachusetts",92.38,Ash-throated Flycatcher,1,"King Farm, South Dartmouth",Bristol,11/28/2011,1/2/2012,"Alice Morgan, Geoff Dennis",-70.94172,41.59962,0101000020E61000004E7FF62345BC51C086032159C0CC4440
East Sandwich,Barnstable,"Fort Hill Rd, East Sandwich, Massachusetts, 02537",87.27,Ash-throated Flycatcher,1,"Fort Hill, Eastham",Barnstable,11/11/2011,12/30/2011,J. Trimble (ph) et al.,-70.42411218,41.7385778,0101000020E6100000DBBB69A7249B51C09C46A4B789DE4440
South Dartmouth,Bristol,"South Dartmouth, Massachusetts",92.38,Ash-throated Flycatcher,1,"King Farm, South Dartmouth",Bristol,11/28/2011,1/2/2012,"Alice Morgan, Geoff Dennis",-70.94172,41.59962,0101000020E61000004E7FF62345BC51C086032159C0CC4440
Westport,Bristol,"1634 Drift Rd, Westport, Massachusetts, 02790",93.87,Sooty Tern,6,"1634 Drift Rd., Westport (E. Branch of Westport R.)",Bristol,8/28/2011,8/28/2011,P. Champlin* (ph),-71.06502605,41.53966391,0101000020E6100000D688056329C451C00824FEB413C54440
Sutton,Worcester,"Quabbin Path, Sutton, Massachusetts, 01590",96.86,Sooty Tern,1,Quabbin Park,Worcester,8/28/2011,8/28/2011,"L. Therrien* (ph), M. Iliff*",-71.71395528,42.11061482,0101000020E6100000049A7C71B1ED51C02D2D5DA0280E4540
Town of Yarmouth,Barnstable,"Bass River, Town of Yarmouth, Massachusetts",90.2,Sooty Tern,1,"mouth of Bass River, Dennis",Barnstable,8/28/2011,8/28/2011,S. Arena*,-70.20513,41.65661,0101000020E61000006C5B94D9208D51C0001DE6CB0BD44440
Winthrop,Suffolk,"Winthrop, Massachusetts",90.27,Sooty Tern,1,"Fort Heath, Winthrop",Suffolk,8/28/2011,8/28/2011,M. Garvey*,-70.98219,42.38163,0101000020E6100000541D7233DCBE51C014967840D9304540
East Falmouth,Barnstable,"East Falmouth, Massachusetts",88.57,Mississippi Kite,9,"Brievogel Ponds, East Falmouth",Barnstable,5/29/2011,6/3/2011,"Matt B. Porter*, ph. I. Davies, ph. B. Nikula, +M. Malin, +M. Iliff, +R. Schain, m. ob.",-70.5605,41.57864,0101000020E61000001D5A643BDFA351C0271422E010CA4440
Turners Falls,Franklin,"Turners Falls, Massachusetts",100,Pink-footed Goose,1,Turner's Falls,Franklin,10/26/2011,10/28/2011,"J.P. Smith* (ph), C.&D. Fisher (ph)",-72.55109,42.59858,0101000020E6100000C5C9FD0E452352C01405FA449E4C4540
NULL,Essex County,Upper Artichoke Reservoir,84.85,Barnacle Goose,1,"Upper Artichoke Reservoir, West Newbury",Essex,11/6/2011,1/3/2012,"P. Brown* (ph), m. ob",-70.93144,42.8062,0101000020E6100000EB8B84B69CBB51C08104C58F31674540
Westport,Bristol,"1634 Drift Rd, Westport, Massachusetts, 02790",93.87,Sooty Tern,6,"1634 Drift Rd., Westport (E. Branch of Westport R.)",Bristol,8/28/2011,8/28/2011,P. Champlin* (ph),-71.06502605,41.53966391,0101000020E6100000D688056329C451C00824FEB413C54440
Sutton,Worcester,"Quabbin Path, Sutton, Massachusetts, 01590",96.86,Sooty Tern,1,Quabbin Park,Worcester,8/28/2011,8/28/2011,"L. Therrien* (ph), M. Iliff*",-71.71395528,42.11061482,0101000020E6100000049A7C71B1ED51C02D2D5DA0280E4540
Town of Yarmouth,Barnstable,"Bass River, Town of Yarmouth, Massachusetts",90.2,Sooty Tern,1,"mouth of Bass River, Dennis",Barnstable,8/28/2011,8/28/2011,S. Arena*,-70.20513,41.65661,0101000020E61000006C5B94D9208D51C0001DE6CB0BD44440
Winthrop,Suffolk,"Winthrop, Massachusetts",90.27,Sooty Tern,1,"Fort Heath, Winthrop",Suffolk,8/28/2011,8/28/2011,M. Garvey*,-70.98219,42.38163,0101000020E6100000541D7233DCBE51C014967840D9304540
Westport,Bristol,"1634 Drift Rd, Westport, Massachusetts, 02790",93.87,Sooty Tern,6,"1634 Drift Rd., Westport (E. Branch of Westport R.)",Bristol,8/28/2011,8/28/2011,P. Champlin* (ph),-71.06502605,41.53966391,0101000020E6100000D688056329C451C00824FEB413C54440
Sutton,Worcester,"Quabbin Path, Sutton, Massachusetts, 01590",96.86,Sooty Tern,1,Quabbin Park,Worcester,8/28/2011,8/28/2011,"L. Therrien* (ph), M. Iliff*",-71.71395528,42.11061482,0101000020E6100000049A7C71B1ED51C02D2D5DA0280E4540
Town of Yarmouth,Barnstable,"Bass River, Town of Yarmouth, Massachusetts",90.2,Sooty Tern,1,"mouth of Bass River, Dennis",Barnstable,8/28/2011,8/28/2011,S. Arena*,-70.20513,41.65661,0101000020E61000006C5B94D9208D51C0001DE6CB0BD44440
Winthrop,Suffolk,"Winthrop, Massachusetts",90.27,Sooty Tern,1,"Fort Heath, Winthrop",Suffolk,8/28/2011,8/28/2011,M. Garvey*,-70.98219,42.38163,0101000020E6100000541D7233DCBE51C014967840D9304540
Hyannis,Barnstable County,"Corporation St, Hyannis, Massachusetts, 02601",89.11,Brown Booby,1,"Corporation Beach, Dennis",Barnstable,8/16/2011,8/24/2011,"A. Curtis (ph), R. Barstow (ph), M. Keleher (ph), S. Arena (ph)",-70.29954349,41.66598958,0101000020E6100000E75175B82B9351C0D4C984253FD54440
Newbury,Essex,Parker River Nat'l Wildlife Refuge,100,White-faced Ibis,1,Parker River NWR,Essex,4/22/2011,4/26/2011,"M. Blust (v), R. Schain (ph)",-70.81025,42.79136,0101000020E610000060E5D022DBB351C068AED3484B654540
Newburyport,Essex,"Newburyport, Massachusetts",81.89,White-winged Dove,1,"Birdwatcher's General Store, Newburyport",Essex,5/5/2011,5/5/2011,S. Grinley* (ph),-70.87311,42.81205,0101000020E6100000E0F3C308E1B751C0C05B2041F1674540
Manchester,Essex,"Manchester, Massachusetts",79.31,Tufted Duck,1,"Manchester Reservoir, Lake Hiawatha/Fells Pond",Essex,10/22/2011,2/29/2012,"*J. Sweeney, J. Trimble (ph), R. Schain (ph)",-70.77014,42.5744,0101000020E6100000DA5548F949B151C044696FF085494540
East Sandwich,Barnstable,"Fort Hill Rd, East Sandwich, Massachusetts, 02537",87.27,Ash-throated Flycatcher,1,"Fort Hill, Eastham",Barnstable,11/11/2011,12/30/2011,J. Trimble (ph) et al.,-70.42411218,41.7385778,0101000020E6100000DBBB69A7249B51C09C46A4B789DE4440
Manchester,Essex,"Manchester, Massachusetts",79.31,Tufted Duck,1,"Manchester Reservoir, Lake Hiawatha/Fells Pond",Essex,10/22/2011,2/29/2012,"*J. Sweeney, J. Trimble (ph), R. Schain (ph)",-70.77014,42.5744,0101000020E6100000DA5548F949B151C044696FF085494540
Manchester,Essex,"Manchester, Massachusetts",79.31,Tufted Duck,1,"Manchester Reservoir, Lake Hiawatha/Fells Pond",Essex,10/22/2011,2/29/2012,"*J. Sweeney, J. Trimble (ph), R. Schain (ph)",-70.77014,42.5744,0101000020E6100000DA5548F949B151C044696FF085494540
East Sandwich,Barnstable,"Fort Hill Rd, East Sandwich, Massachusetts, 02537",87.27,Ash-throated Flycatcher,1,"Fort Hill, Eastham",Barnstable,11/11/2011,12/30/2011,J. Trimble (ph) et al.,-70.42411218,41.7385778,0101000020E6100000DBBB69A7249B51C09C46A4B789DE4440
Nantucket,Town and County of Nantucket,"Nantucket, Massachusetts",88.84,Townsend's Solitaire,1,"Jackson Point, Nantucket",Nantucket,10/21/2011,10/22/2011,"P. Trimble* (ph), V. Laux (ph)",-70.09868,41.28364,0101000020E61000003C31EBC5508651C031EBC5504EA44440
East Falmouth,Barnstable,"East Falmouth, Massachusetts",88.57,Mississippi Kite,9,"Brievogel Ponds, East Falmouth",Barnstable,5/29/2011,6/3/2011,"Matt B. Porter*, ph. I. Davies, ph. B. Nikula, +M. Malin, +M. Iliff, +R. Schain, m. ob.",-70.5605,41.57864,0101000020E61000001D5A643BDFA351C0271422E010CA4440
NULL,Essex County,Upper Artichoke Reservoir,84.85,Barnacle Goose,1,"Upper Artichoke Reservoir, West Newbury",Essex,11/6/2011,1/3/2012,"P. Brown* (ph), m. ob",-70.93144,42.8062,0101000020E6100000EB8B84B69CBB51C08104C58F31674540
Gloucester,Essex,"East Gloucester, Gloucester, Massachusetts",86.36,Lark Bunting,1,"Good Harbor Beach, E. Gloucester",Essex,10/8/2011,10/10/2011,"B.Harris*, T. Spahr*(ph), E. Neilsen (ph), J. Offermann (ph)",-70.64871,42.61156,0101000020E6100000A4A5F27684A951C058C51B99474E4540
Gloucester,Essex,"East Gloucester, Gloucester, Massachusetts",86.36,Lark Bunting,1,"Good Harbor Beach, E. Gloucester",Essex,10/8/2011,10/10/2011,"B.Harris*, T. Spahr*(ph), E. Neilsen (ph), J. Offermann (ph)",-70.64871,42.61156,0101000020E6100000A4A5F27684A951C058C51B99474E4540
Gloucester,Essex,"East Gloucester, Gloucester, Massachusetts",86.36,Lark Bunting,1,"Good Harbor Beach, E. Gloucester",Essex,10/8/2011,10/10/2011,"B.Harris*, T. Spahr*(ph), E. Neilsen (ph), J. Offermann (ph)",-70.64871,42.61156,0101000020E6100000A4A5F27684A951C058C51B99474E4540
NULL,Dukes County,Cuttyhunk Island,97.18,Purple Gallinule,1,Cuttyhunk Island,Dukes,10/8/2011,10/8/2011,R. Schain* (ph) et al.,-70.93559,41.41677,0101000020E6100000BD1DE1B4E0BB51C01AFA27B858B54440
Newbury,Essex,Parker River Nat'l Wildlife Refuge,100,White-faced Ibis,1,Parker River NWR,Essex,4/22/2011,4/26/2011,"M. Blust (v), R. Schain (ph)",-70.81025,42.79136,0101000020E610000060E5D022DBB351C068AED3484B654540
NULL,Essex County,Upper Artichoke Reservoir,84.85,Barnacle Goose,1,"Upper Artichoke Reservoir, West Newbury",Essex,11/6/2011,1/3/2012,"P. Brown* (ph), m. ob",-70.93144,42.8062,0101000020E6100000EB8B84B69CBB51C08104C58F31674540
NULL,Essex County,Upper Artichoke Reservoir,84.85,Barnacle Goose,1,"Upper Artichoke Reservoir, West Newbury",Essex,11/6/2011,1/3/2012,"P. Brown* (ph), m. ob",-70.93144,42.8062,0101000020E6100000EB8B84B69CBB51C08104C58F31674540
